class,q1,q2,q3,q4
Pass ExternalQuiz,0.0,0.0,0.0,0.0
Pass DataPlus,0.0,0.0,0.0,0.0
Pass DualPlus,0.0,0.0,0.0,0.0
Pass Folder,0.0,0.0,0.0,0.0
Pass Forumng,35.0,6.0,6.0,20.0
Pass Glossary,0.0,0.0,0.0,0.0
Pass HomePage,12.0,17.0,18.0,9.0
Pass HtmlActivity,0.0,0.0,0.0,0.0
Pass OuCollaborate,0.0,0.0,0.0,0.0
Pass OuContent,0.0,0.0,21.0,1.0
Pass OuElluminate,0.0,0.0,0.0,0.0
Pass OuWiki,0.0,0.0,0.0,0.0
Pass PageClicks,0.0,0.0,0.0,0.0
Pass Questionnaire,0.0,0.0,0.0,0.0
Pass Quiz,20.0,42.0,32.0,0.0
Pass RepeatActivity,0.0,0.0,0.0,0.0
Pass Resource,2.0,0.0,2.0,2.0
Pass SharedSubPage,0.0,0.0,0.0,0.0
Pass SubPage,2.0,0.0,10.0,2.0
Pass Url,1.0,0.0,1.0,0.0
Pass ExternalQuiz,0.0,0.0,15.0,29.0
Pass DataPlus,0.0,0.0,0.0,0.0
Pass DualPlus,0.0,0.0,0.0,0.0
Pass Folder,0.0,0.0,0.0,0.0
Pass Forumng,122.0,14.0,43.0,22.0
Pass Glossary,0.0,0.0,0.0,0.0
Pass HomePage,135.0,60.0,56.0,55.0
Pass HtmlActivity,2.0,0.0,0.0,0.0
Pass OuCollaborate,1.0,0.0,0.0,0.0
Pass OuContent,299.0,438.0,380.0,329.0
Pass OuElluminate,0.0,0.0,0.0,0.0
Pass OuWiki,20.0,0.0,0.0,1.0
Pass PageClicks,2.0,6.0,2.0,7.0
Pass Questionnaire,10.0,0.0,12.0,12.0
Pass Quiz,5.0,52.0,444.0,65.0
Pass RepeatActivity,0.0,0.0,0.0,0.0
Pass Resource,10.0,5.0,8.0,4.0
Pass SharedSubPage,0.0,0.0,0.0,0.0
Pass SubPage,67.0,0.0,46.0,23.0
Pass Url,7.0,0.0,16.0,2.0
Pass ExternalQuiz,0.0,0.0,0.0,0.0
Pass DataPlus,0.0,0.0,0.0,0.0
Pass DualPlus,0.0,0.0,0.0,0.0
Pass Folder,0.0,0.0,0.0,0.0
Pass Forumng,0.0,0.0,0.0,0.0
Pass Glossary,0.0,0.0,0.0,0.0
Pass HomePage,4.0,0.0,6.0,13.0
Pass HtmlActivity,0.0,0.0,0.0,0.0
Pass OuCollaborate,0.0,0.0,0.0,0.0
Pass OuContent,0.0,0.0,5.0,2.0
Pass OuElluminate,0.0,0.0,0.0,0.0
Pass OuWiki,0.0,0.0,0.0,0.0
Pass PageClicks,0.0,0.0,0.0,0.0
Pass Questionnaire,0.0,0.0,0.0,0.0
Pass Quiz,0.0,0.0,0.0,81.0
Pass RepeatActivity,0.0,0.0,0.0,0.0
Pass Resource,1.0,0.0,0.0,2.0
Pass SharedSubPage,0.0,0.0,0.0,0.0
Pass SubPage,2.0,0.0,4.0,1.0
Pass Url,0.0,0.0,0.0,0.0
Fail ExternalQuiz,0.0,0.0,0.0,0.0
Fail DataPlus,0.0,0.0,0.0,0.0
Fail DualPlus,0.0,0.0,0.0,0.0
Fail Folder,0.0,0.0,0.0,0.0
Fail Forumng,0.0,0.0,0.0,0.0
Fail Glossary,0.0,0.0,0.0,0.0
Fail HomePage,4.0,0.0,0.0,0.0
Fail HtmlActivity,0.0,0.0,0.0,0.0
Fail OuCollaborate,0.0,0.0,0.0,0.0
Fail OuContent,2.0,0.0,0.0,0.0
Fail OuElluminate,0.0,0.0,0.0,0.0
Fail OuWiki,0.0,0.0,0.0,0.0
Fail PageClicks,0.0,0.0,0.0,0.0
Fail Questionnaire,0.0,0.0,0.0,0.0
Fail Quiz,0.0,0.0,0.0,0.0
Fail RepeatActivity,0.0,0.0,0.0,0.0
Fail Resource,0.0,0.0,0.0,0.0
Fail SharedSubPage,0.0,0.0,0.0,0.0
Fail SubPage,0.0,0.0,0.0,0.0
Fail Url,0.0,0.0,0.0,0.0
Fail ExternalQuiz,0.0,0.0,0.0,0.0
Fail DataPlus,0.0,0.0,0.0,0.0
Fail DualPlus,0.0,0.0,0.0,0.0
Fail Folder,0.0,0.0,0.0,0.0
Fail Forumng,12.0,5.0,0.0,0.0
Fail Glossary,0.0,0.0,0.0,0.0
Fail HomePage,94.0,56.0,49.0,33.0
Fail HtmlActivity,0.0,0.0,0.0,0.0
Fail OuCollaborate,0.0,0.0,0.0,0.0
Fail OuContent,0.0,9.0,0.0,0.0
Fail OuElluminate,0.0,0.0,0.0,0.0
Fail OuWiki,0.0,0.0,0.0,0.0
Fail PageClicks,0.0,0.0,0.0,0.0
Fail Questionnaire,0.0,0.0,0.0,0.0
Fail Quiz,416.0,87.0,475.0,240.0
Fail RepeatActivity,0.0,0.0,0.0,0.0
Fail Resource,53.0,32.0,19.0,16.0
Fail SharedSubPage,0.0,0.0,0.0,0.0
Fail SubPage,15.0,0.0,14.0,4.0
Fail Url,2.0,0.0,0.0,0.0
Pass ExternalQuiz,0.0,0.0,0.0,0.0
Pass DataPlus,0.0,0.0,0.0,0.0
Pass DualPlus,0.0,4.0,7.0,1.0
Pass Folder,0.0,0.0,0.0,0.0
Pass Forumng,15.0,0.0,39.0,4.0
Pass Glossary,0.0,0.0,0.0,0.0
Pass HomePage,50.0,18.0,36.0,6.0
Pass HtmlActivity,0.0,0.0,0.0,0.0
Pass OuCollaborate,0.0,0.0,0.0,0.0
Pass OuContent,24.0,22.0,21.0,0.0
Pass OuElluminate,0.0,0.0,0.0,0.0
Pass OuWiki,20.0,0.0,0.0,0.0
Pass PageClicks,0.0,0.0,0.0,0.0
Pass Questionnaire,0.0,0.0,0.0,0.0
Pass Quiz,0.0,0.0,0.0,0.0
Pass RepeatActivity,0.0,0.0,0.0,0.0
Pass Resource,12.0,5.0,18.0,1.0
Pass SharedSubPage,0.0,0.0,0.0,0.0
Pass SubPage,116.0,0.0,73.0,4.0
Pass Url,6.0,0.0,4.0,0.0
Pass ExternalQuiz,0.0,0.0,0.0,0.0
Pass DataPlus,0.0,0.0,0.0,0.0
Pass DualPlus,0.0,0.0,0.0,0.0
Pass Folder,0.0,0.0,0.0,0.0
Pass Forumng,0.0,15.0,0.0,7.0
Pass Glossary,0.0,0.0,0.0,0.0
Pass HomePage,43.0,20.0,27.0,59.0
Pass HtmlActivity,0.0,0.0,0.0,0.0
Pass OuCollaborate,0.0,0.0,0.0,0.0
Pass OuContent,25.0,3.0,41.0,217.0
Pass OuElluminate,0.0,0.0,0.0,0.0
Pass OuWiki,0.0,0.0,0.0,0.0
Pass PageClicks,0.0,0.0,0.0,2.0
Pass Questionnaire,0.0,0.0,0.0,0.0
Pass Quiz,211.0,25.0,58.0,391.0
Pass RepeatActivity,0.0,0.0,0.0,0.0
Pass Resource,11.0,22.0,48.0,23.0
Pass SharedSubPage,0.0,0.0,0.0,0.0
Pass SubPage,13.0,0.0,29.0,71.0
Pass Url,1.0,0.0,0.0,0.0
Fail ExternalQuiz,0.0,0.0,0.0,0.0
Fail DataPlus,0.0,0.0,0.0,0.0
Fail DualPlus,0.0,0.0,0.0,0.0
Fail Folder,0.0,0.0,0.0,0.0
